Company Name,Company Revenue in millions, Empoyee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone
Edgepark,300,1000,Hospitals and Health Care,"Diabetic Supplies, Ostomy Supplies, Urological Supplies, Breast Pumps, Wound Care Supplies, Dressings, Gauze & Tapes, Incontinence Supplies, Respiratory, Sleep Apnea & CPAP Supplies, Nutrition & Enteral Supplies, Blood Pressure Supplies, Compression Socks, Stockings & Other Garments",Public Company,United States,Twinsburg,EST
G3 Enterprises,200,500,Food and Beverage Services,"Transportation & Warehousing, Minerals (Sands), DIAM Closure Distributor, Pomace, Twist Caps, harvest hauling, Label printing, 3PL warehouse services (include repack/reselect), oxygen management consultation and technical services, Property Management, Oak, Corks, Glass Distributor",Privately Held,United States,Modesto,EST
Heatcraft Worldwide Refrigeration,500,1200,Industrial Machinery Manufacturing,"Commercial Refrigeration, Supermarkets, Food Service, Convenience Stores, Cold Storage, Refrigeration Controls, Sustainable Refrigeration Solutions., Cold Storage",Public Company,United States,Stone Mountain,EST
STRATA Manufacturing PJSC,400,1500,Aviation and Aerospace Component Manufacturing,"Manufacturing, Technology",Public Company,United Arab Emirates,Al Ain,GST
Crown Roofing & Waterproofing,100,300,Construction,"Roof Maintenance and Service, Concrete and Clay tile, new construction and Reroof, Low slope roofing system service and replacement, Quality and Pride in Every Owner supervised project.",Privately Held,United States,Sarasota,EST
Archdiocese of St. Louis,150,1000,Religious Institutions,,Nonprofit,United States,St. Louis,EST
The Marvin Group,500,1000,Defense and Space Manufacturing,"Alternate Mission Equipment, Aircraft Armament Equipment, Aircraft Ejector (Bomb) Racks, Aircraft Missile Launchers, Aircraft Pylons & Pods, Automated Test Solutions, Armament Test Solutions, Aerospace Test Solutions, Auxiliary Power Units, HVAC Systems for Land & Maritime, Environmental Control Units, High Performance Rigid Wall Shelters, Engineering Qualification & Design, High Performance Aircraft Armament Systems R&D, Manufacturing Engineering (AME / AAE)",Privately Held,United States,Inglewood,EST
JCB North America,4000,10000,Machinery Manufacturing,"Construction Equipment, Agricultural Equipment, Manufacturing, Engineering, Defense Equipment",Privately Held,United States,Pooler,EST
Knights of Columbus Insurance,3000,7000,Insurance,"Life Insurance, Annuities, Disability Income, Long Term Care",Nonprofit,United States,New Haven,EST
Howard County General Hospital,500,1200,Hospitals and Health Care,,Nonprofit,United States,Columbia,EST
University of Mississippi School of Pharmacy,451,500,Higher Education,"Pharmacy, Pharmacy Education, Natural Products Research, Clinical Research, Community Pharmacy, Medicinal Plants, Pharmacy Administration, BioMolecular Sciences, Pharmacy Practices, Drug Delivery, Industrial Pharmacy, Hospital Pharmacy, Compounding, Medicinal Chemistry, Environmental Toxicology, Pharmacology, Pharmacognosy, Patient Care, Public Service",Educational Institution,United States,University,EST
Clemenceau Medical Center,100,800,Hospitals and Health Care,"Healthcare, Medical Tourism",Privately Held,Lebanon,Beirut,EET
Sigma Cylinders,200,400,Automation Machinery Manufacturing,"Manufacturing of gas cylinders (LPG), LPG cylinder manufacturing and refurbishment, Awareness campaigns , Regulations and norms, Distribution networks, Procurement of LPG vehicle , Regulating LPG cylinders and accessories, Network plan, Supervision and support",Privately Held,Lebanon,Beirut,EET
Avnet Integrated,1500,5000,IT Services and IT Consulting,"Electronics Manufacturing, Product Development, Electronics Consulting, Internet of Things, IoT, Electronics Design, Data Center Solutions, Servers, Liquid Cooling Servers, IT, Integration, Product Design, Computer Hardware, Micro Data Centers, Micro data computing, global, Systems Integration, Systems Design, Electronic Components, Supply Chain, Global Supply Chain Management, Support Services, Emerging Technology, Design Engineering, Value Added Distribution, OEM, technology selection, Warranty services, systems manufacturing, Integration, Integration solutions, Value Added Reseller, VAR, ISV, embedded systems, product design, product development, Liquid cooling, AI, High performance computing, Immersion Cooling",,United States,Chandler,EST
Hubbell Lighting,600,2000,"Appliances, Electrical, and Electronics Manufacturing","Commercial, Industrial, Institutional, Sports, Residential, Harsh/Hazardous Environment, Architecture, Design, Controls, Electrical, Specification",Public Company,United States,Greenville,EST
Ryan Specialty,300,1000,Insurance,"Property, Casualty, Transportation, Professional Liability, E&O, Construction, Transactional Risk, M&A, Healthcare, Life Science, Renewable Energy, Cyber Risk, DIC, Energy & Marine, Excess & Surplus Lines, Distribution Services",Public Company,United States,Chicago,EST
"Cynosure, LLC.",150,500,Medical Equipment Manufacturing,,Privately Held,United States,Westford,EST
Veeco Precision Surface Processing,250,800,Semiconductor Manufacturing,"Single wafer wet processing equipment, Semiconductor industry, MEMS, Advanced Packaging, Compound semiconductor",Public Company,United States,Horsham,EST
Summit,100,500,Food and Beverage Services,"Corrections, Correctional Facilities, Food Service, Commissary",Privately Held,United States,Sioux Falls,EST
Milliken Textiles,1000,2500,Textile Manufacturing,"Apparel, Automotive + Transportation, Military, Protective, Cable Management, Interiors, Hospitality, Building & Infrastructure, Industrial",Privately Held,United States,Spartanburg,EST
First Midwest Bank,400,1000,Banking,"Commercial Banking, Wealth Management, Consumer Banking, Business Banking, Commercial Farming Banking, Healthcare Banking, Equipment Financing & Leasing, Structured Finance, Agribusiness Banking, Community Banking, Capital Markets, Asset Management, Investment Advisors, Commercial Real Estate, Cash Management, ESOP Management, Treasury Management, Franchise Banking, Retirement Planning, Government Banking",Public Company,United States,Chicago,EST
Max Fashion MENA & SEA,300,1500,Retail Apparel and Fashion,,Privately Held,United Arab Emirates,Dubai,GST
UScellular Business,10000,10000,Telecommunications,,Public Company,United States,Chicago,EST
Pike Industries,300,1200,Construction,,Privately Held,United States,Belmont,EST
Snohomish County PUD,1800,1500,Utilities,"Electric and Water Utility, Community Resource",Nonprofit,United States,Everett,EST
Rhein Chemie,500,1000,Chemical Manufacturing,From the development of the compound to the production of the finished component – as a partner to the rubber industry Rhein Chemie supplies high-quality solutions for all the challenges of rubber processing,Public Company,United States,Chardon,EST
Gerber,1000,4000,Retail,"Infant Nutrition, Toddler Nutrition, Nutrition, Consumer Goods",Public Company,United States,Arlington,EST
Grand Teton Lodge Company,50,200,Hospitality,"lodging, hospitality, guest service, national park concessionaire",Public Company,United States,Moran,MST
American University Washington College of Law,37,400,Higher Education,"Environmental and Energy Law, International and Comparative Law, Intellectual Property, Trial Advocacy, Clinical Legal Education, Criminal Law, Law and Government, Criminal Justice, Public Interest, Health Law and Policy, Gender and the Law, Human Rights",Educational Institution,United States,Washington,EST
Jarvis Property Restoration,50,200,Construction,"Water Damage Restoration, Fire clean-up & Restoration, Mold Remediation, Cap/Ex, Demolition, Construction, Emergency Services, Board-up, Commerical & Industrial Buildings, Pre-Disaster Planning, Trauma Clean-up, Full Service Painting, Document/Electronic Restoration, Vehicle Impact, Storm Damage Retoration and Repair, Equipment/Generator Rental",Privately Held,United States,Harrison Township,EST
INEOS Styrolution America LLC,3000,2500,Chemical Manufacturing,"Styrene Monomer, Terblend® N, Terblend® S, Absolan®, Luran®, Luran® S, Luran® SC, General-Purpose & High-Impact Polystyrene, Styrolux®, Styroflex®, Novodur®, Novodur® High Heat, Terluran®, Terlux®, CLEARBLEND®, NAS®, ZYLAR®",Privately Held,United States,Aurora,EST
Flagstaff Unified School District,60,1000,Primary and Secondary Education,"Elementary, High School, Junior High",Educational Institution,United States,Flagstaff,EST
Securitas nv,5000,370000,Security and Investigations,,Privately Held,Belguim,Neder-Over-Heembeek,CET
Arrow Systems Integration,100,300,Telecommunications,"Training, Professional Services, Managed Services, Maintenance, Technical Support, Unified Communications and Collaboration, Contact Center, Networking, Monitoring and Fault Management",Public Company,United States,Plano,EST
Johns Hopkins Intrastaff,200,500,Hospitals and Health Care,,Public Company,United States,Lutherville,EST
Energy Harbor,2000,1000,Utilities,,Privately Held,United States,Akron,EST
SST Consumables,80,300,Manufacturing,"EDM Supplies, EDM Consumables, Wire EDM, Sinker EDM, EDM Drilling",Privately Held,United States,New Britain,EST
Ultratech - a Division of Veeco,250,500,Semiconductor Manufacturing,"Lithography, Laser Annealing, Wafer Inspection, Atomic Layer Deposition",Public Company,United States,San Jose,EST
NIBCO INC.,1000,2000,Wholesale Building Materials,"Press System, Flexible Piping, Industrial Plastics, Fittings, Valves, Lead-Free, Industrial Systems, Balancing and Control Valves, Push System",Privately Held,United States,Elkhart,EST
"beeline Group, North America",50,100,Retail,"Retail, Fashion, Jewlery, Jobs, Accessories, Concessions, Merchandising, Brick & Mortar",Privately Held,United States,Atlanta,EST
Johns Hopkins Howard County Medical Center,300,1000,Hospitals and Health Care,,Nonprofit,United States,Columbia,EST
HF Sinclair Parco Refining LLC,8000,3000,Oil and Gas,,Public Company,United States,Sinclair,EST
Rizing,200,500,IT Services and IT Consulting,"SAP, SAP HCM, SAP Consumer Industries, SAP Enterprise Asset Management EAM, SAP Retail, Fashion Technology, S4HANA, CLOUD, PAYROLL, consulting, Business Transformation, Analytics, SAP SuccessFactors, professional services, Managed Services, HR, SAP Business Technology Platform",Privately Held,United States,Stamford,EST
ST Engineering iDirect,100,600,Telecommunications,,Privately Held,United States,Herndon,EST
Matthews Memorialization,30,100,Manufacturing,"Funeral Services, Cemetery Products, Architectural Signage, Statuary ",Public Company,United States,Pittsburgh,EST
