Company Name,Company Revenue in millions, Empoyee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone
"Amkor Technology, Inc.",5100,29100,Semiconductor Manufacturing,"Semiconductors, IC Test, Wafer Bumping, MEMS & Sensors, Wafer Level Packaging, 3D Packaging, TSV, Flip Chip, Package-on-Package, SiP, Chip-on-Chip, Wafer Test, IC Design, Leadframe, Laminate, WLFO, Semiconductor, CSP, BGA, Power Discretes, dsmbga, advanced packaging, wlcsp, automotive, iot, ai, computing, memory",Public Company,United States,Tempe,EST
EY-Parthenon,1200,3500,Business Consulting and Services,,Privately Held,United States,Boston,EST
Pep Boys,6000,22000,Motor Vehicle Manufacturing,,Privately Held,United States,Bala-Cynwyd,EST
IBM iX,19000,10000,IT Services and IT Consulting,"Design, Experience, Strategy, Digital Transformation, Consulting, Digital Reinvention, Customer Experience, Design Thinking, Experience Design, Mobile, App Development, Business Consulting",Public Company,United States,Armonk,EST
Methodist Le Bonheur Healthcare,2000,13000,Hospitals and Health Care,"Cardiology, Neuroscience, Transplants, Maternity, Nursing, Cancer Care, Behavioral Health, Diabetes & Endocrinology, Hospice Care, Imaging & Diagnostic Services, Faith & Health, Orthopedics, Vascular & Endovascular Surgery, Women’s Health, Primary Care",Nonprofit,United States,Memphis,EST
HII,7200,42000,Defense and Space Manufacturing,"SURFACE COMBATANTS, NUCLEAR-POWERED SUBMARINES, AIRCRAFT CARRIERS, AMPHIBIOUS WARSHIPS, U.S. COAST GUARD CUTTERS, UNMANNED SYSTEMS, INTEGRATED DIGITAL SHIPBUILDING, RCOH, AI, BIG DATA",Public Company,United States,Newport News,EST
Mavenir,1100,4100,Software Development,"Mobile Core, Radio Access Network, Packet Compute, Advanced Services, RCS, VoLTE, Business Messaging, 4G/5G Networks, OpenRAN, 5G Core, IMS Core, 5G",Privately Held,United States,Richardson,EST
Dolby Laboratories,1200,2000,Computers and Electronics Manufacturing,"Audio, Video, Entertainment, Internet, Broadcast, Cinema, PC, Software, Hardware, Mobile, Voice, 3D, Film",Public Company,United States,San Francisco,EST
Avantor,6200,12500,Biotechnology Research,"Life Science, Advanced Materials, Pharmaceutical Chemicals, Biopharmaceutical Chemicals, BioMaterials, Drug Delivery, Academic Research Chemicals, Laboratory Research Chemicals, Diagnostic Solutions, Environmental Testing Chemicals, Semiconductor Manufacturing Materials, Space-grade Silicones, advanced technology, Biopharma, Healthcare, Education, Government, Applied materials, Services",Public Company,United States,Radnor Township,EST
Missouri Baptist Medical Center,500,3000,Hospitals and Health Care,"Cardiac, Oncology, Gastrointestinal, Orthopedic, Neurology & Spine, Women's Health",Nonprofit,United States,St. Louis,EST
Anthropologie,2000,8000,Retail Apparel and Fashion,,Public Company,United States,Philadelphia,EST
National Geographic,1000,3000,Publishing,"Publishing, Television, Media, Digital, Research, Exploration",Public Company,United States,Washington,EST
Fidelis Care,2400,4000,Hospitals and Health Care,"Medicaid Managed Care, NY State of Health Metal-Level Products, Medicare Advantage, Child Health Plus, Managed Long Term Care, Medicaid Advantage Plus",Public Company,United States,Rego Park,EST
AtlantiCare,1200,5800,Hospitals and Health Care,"Cardiac Care, Bariatric Surgery, Cancer Care, Women's Health & Wellness",Nonprofit,United States,Atlantic City,EST
Sun Chemical,7800,8000,Chemical Manufacturing,"Printing Inks, Coatings, Pressroom Supplies, Pigments, Advanced Materials, Color Management, Packaging Solutions, Polymers, Liquid Compounds, Solid Compounds, Application Materials",Privately Held,United States,Parsippany,EST
Jared the Galleria of Jewelry,1100,2400,Retail Luxury Goods and Jewelry,,Public Company,United States,Akron,EST
NPL Construction Co.,900,5100,Construction,,Privately Held,United States,Phoenix,EST
Scientific Drilling,300,2000,Oil and Gas,"Directional Drilling, Rotary Steerable Services, MWD / LWD Solutions, Well Planning, Magnetic Ranging, Survey Management, Drilling Motor Services, Drilling Engineering, Wellbore Surveying, Cased Hole Services",Privately Held,United States,The Woodlands,EST
Milliken & Company,3000,7200,Industrial Machinery Manufacturing,"Specialty Chemicals, Performance Solutions™ by Milliken, Floor Covering, Manufacturing, Textiles, Healthcare",Privately Held,United States,Spartanburg,EST
"Bechtel Oil, Gas, & Chemicals",9500,58000,Oil and Gas,,Public Company,United States,Houston,CST
Gainwell Technologies,1300,6500,IT Services and IT Consulting,,Privately Held,United States,United States,EST
Samsung Electronics America,30000,14000,Computers and Electronics Manufacturing,"Smart TV, Smartphone, Tablets, Wearable Tech, Blu-ray & Smart Players, HomeTheater & Audio, Digital Camera & Camcorder, Computing, Memory & Storage, Home Appliances, LED Lighting, Security & Monitoring, Consumer Electronics",Public Company,United States,Ridgefield Park,EST
Murphy Oil Corporation,2100,1200,Oil & Energy,"Oil and Natural Gas Production, Oil and Natural Gas Exploration",Public Company,United States,Houston,EST
SAP SuccessFactors,1200,3400,Software Development,"Core HR and Payroll, Recruiting Marketing and Recruiting Management, Talent Management, HRIS, Learning Management Software (LMS), Business Social Collaboration, Workforce Planning & Analytics, Succession and Compensation Management",Public Company,United States,South San Francisco,EST
Advocate Condell Medical Center,800,2800,Hospitals and Health Care,,Nonprofit,United States,Libertyville,EST
Advocate Lutheran General Hospital,900,3500,Hospitals and Health Care,,Nonprofit,United States,Park Ridge,EST
BJC HealthCare,5200,31000,Hospitals and Health Care,"Healthcare, medical, inpatient care, primary care, community health and wellness, workplace health, home health, community mental health, rehabilitation, long-term care, hospice, outpatient care",Nonprofit,United States,St. Louis,EST
TECO Energy,4400,4300,Utilities,Energy,Public Company,United States,Tampa,EST
"J. J. Keller & Associates, Inc.",500,1400,Business Consulting and Services,"Mobile & Cloud Solutions, Onsite Consulting & Driver Training, ELDs, Dash Cams and Vehicle Tracking, Managed Services, Digital & Printed Publications, Online Training & Related Materials, Safety Supplies & J. J. Keller® SAFEGEAR® PPE",Privately Held,United States,Neenah,EST
Crown Lift Trucks,2300,1500,Truck Transportation,"Forklifts, Lift Trucks, Material Handling, Supply Chain, Manufacturing, Warehouse Products, Fleet Management, Racking & Shelving",Privately Held,United States,New Bremen,EST
Federal-Mogul Powertrain,7200,55000,Motor Vehicle Manufacturing,"Power Cylinder Components, Thermal and Abrasion Protective Sleeves, Valvetrain Components, Engine Bearings, Engine Seals and Gaskets, Vehicle and Industrial Ignition",Privately Held,United States,Northville,EST
Orbia,7900,22000,Utilities,,Public Company,United States,Boston,EST
ViacomCBS,25000,25500,Entertainment Providers,,Public Company,United States,New York,EST
Hubbell Power Systems,4100,14000,"Appliances, Electrical, and Electronics Manufacturing","Anchoring/Foundations, Arresters, Bushings, Cable Accessories, Civil Construction, Connectors, Drain Systems, Enclosures, Fiberglass Construction, Insulators, Lineman Grade Tools, Pole Line Hardware, Switching, Truck Accessories",Public Company,United States,Columbia,EST
Catholic Charities of the Archdiocese of Chicago,300,2500,Individual and Family Services,"Affordable Housing, Senior Services, Affordable Child Care, Nutrition Services, Family Counseling, Immigration and Naturalization, Veterans Services",Nonprofit,United States,Chicago,EST
NEOM,500,1500,Government Administration,,Privately Held,Saudi Arabia,Neom,AST
Trulieve,1800,5000,Alternative Medicine,,Public Company,United States,Tallahassee,EST
Symphony Teleca,1000,6000,IT Services and IT Consulting,"Infotainment, Consumer Electronics, Cloud Services, Professional and Automotive Sound, Loudspeaker, Home Entertainment, Healthcare, Software Solutions, Lighting, Connected products and solutions",Privately Held,United States,Mountain View,EST
OneSubsea,3200,4500,Oil and Gas,"Integrated Solutions, Production Systems, Processing Systems, Control Systems, Swivel and Marine Systems, Subsea Services",Public Company,United States,Houston,EST
Knights of Columbus,4200,1750,Financial Services,"Disability Income Insurance, Whole Life, Term Life, Long Term Care insurance, Annuities, Charity",Nonprofit,United States,New Haven,EST
Madewell,1200,3000,Retail Apparel and Fashion,"retail, jeans, specialty apparel, denim",Privately Held,United States,New York,EST
Canon Solutions America,3100,4600,IT Services and IT Consulting,"Office Solutions, Document Workflow, Hardware, Software",Public Company,United States,Melville,EST
Harland Clarke Customer Engagement Solutions,900,3000,Financial Services,"Payment Solutions, Marketing Services, Check Programs, Cards, Analytics, Deposit Acquisition, Loan Acquisition, Customer Engagement",Privately Held,United States,San Antonio,EST
The Doctors Company,1200,850,Insurance,"Medical malpractice insurance for physicians, surgeons, large groups, hospitals, and integrated  delivery systems, medical practice coverages, patient safety and risk management, CME, claims management",Privately Held,United States,Napa,EST
Oxford Global Resources,800,2000,IT Services and IT Consulting,"Project Engagement, Subject Matter Expertise, Full Project Delivery, Consulting Services, Program and Project Management, IT Strategy Consulting, IT Staffing, Organizational Change Management, Staff Augmentation, Workforce Solutions, Technology, IT Services, Transformation, Consulting, Life Sciences, Healthcare, Engineering, Compliance, Ecommerce, Recruiting, Quality Assurance, Automation",Public Company,United States,Beverly,EST
FFF Enterprises,500,1200,Pharmaceuticals,"MyFluVaccine, BioSupply, Immune Globulin, Albumin, Coagulation Factor, Adult Vaccines, Pediatric Vaccines, Influenza Vaccines, Pharmaceuticals, Controlled Substances, Hyperimmune Globulins, Plasma, Vaccines",Privately Held,United States,Temecula,EST
HF Sinclair,14000,3000,Oil and Gas,,Public Company,United States,Dallas,EST
"Delek US Holdings, Inc.",9000,1300,Oil and Gas,"Petroleum Refining, Wholesale Gas Marketing & Supply, Pipeline, energy, retail, oil & gas, downstream energy, logistics, asphalt, midstream energy, crude oil, refining, petroleum, renewable fuels, convenience stores",Public Company,United States,Brentwood,EST
Rack Room Shoes,800,1500,Retail,,Privately Held,United States,Charlotte,EST
Fujitsu Network Communications,1100,2000,Telecommunications,"Communications Network Solutions, Telecommunications, Network Services",Public Company,United States,Richardson,EST
The Associated Press,500,3000,Media Production,"Content solutions and news services, Archive content, Content production and distribution, Broadcast facilities, Newsroom production software, Media tools, Partnership opportunities",Nonprofit,United States,New York,EST
Ball Aerospace,2200,4700,Defense and Space Manufacturing,"Aerospace, Defense",Public Company,United States,Broomfield,EST
Georgia Pacific,20000,35000,Paper and Forest Product Manufacturing,,Privately Held,United States,Atlanta,EST
Federal-Mogul Motorparts,7000,55000,Motor Vehicle Manufacturing,"Aftermarket Automotive Parts, Original Equipment Automotive Parts, Branding, Marketing, Advertising, Design, Engineering, Manufacturing, Supply Chain Management, Automotive Service Technician Training",Privately Held,United States,Southfield,EST
Amsted Rail,1200,3000,Railroad Equipment Manufacturing,,Privately Held,United States,Chicago,EST
Magic Leap,500,1000,Consumer Electronics,,Privately Held,United States,Plantation,EST
Hillshire Brands,4000,9000,Food and Beverage Manufacturing,"Brand Building, Convenient Food, Innovation",Public Company,United States,Chicago,EST
Batesville,1500,3200,Manufacturing,"Manufacturing, Customer Service, Logistics, Technology",Public Company,United States,Batesville,EST
Rock-Tenn Company,10000,23000,Packaging and Containers Manufacturing,"Consumer Packaging, Corrugated Packaging, Merchandising Displays, Paperboard, Recycling, Specialty Paperboard",Public Company,United States,Norcross,EST
NW Natural,800,1200,Utilities,,Public Company,United States,Portland,EST
Terumo Medical Corporation,2300,5500,Medical Device,"Terumo Interventional Systems markets medical devices for endovascular procedures: peripheral embolization, transradial solutions, introducer sheaths, guiding sheaths, guidewires, angiographic catheters, coronary catheters, microcatheters, embolics",Public Company,United States,Somerset,EST
Lands'​ End,1550,5000,Apparel & Fashion,"Retail, Direct Sales, Catalog, Digital, Apparel and Fashion",Public Company,United States,Dodgeville,EST
SunPower Corporation,1800,2200,Renewables & Environment,"solar, residential solar systems, project development, photovoltaic, alternative energy, renewable energy, energy service provider, monitoring, solar storage",Public Company,United States,Richmond,EST
QAPCO - Qatar Petrochemical Company,2400,1800,Plastics Manufacturing,The main products of the company are Ethylene and LDPE. Solid sulphur is generated as a by-product in the process.,Partnership,Qatar,Doha,AST
OK Foods Inc.,1500,4000,Food and Beverage Manufacturing,,Public Company,United States,Fort Smith,EST
Salt River Project,3300,4200,Utilities,"Power Generation, Water Delivery, Customer Service",Privately Held,United States,Tempe,EST
Valassis Marketing Solutions,1100,3100,Advertising Services,,Privately Held,United States,Livonia,EST
Coca-Cola Beverages Florida,1200,4500,Food and Beverage Services,Beverages,Public Company,United States,Tampa,EST
Crown Equipment Corporation,3200,15000,Truck Transportation,"Forklifts, Lift Trucks, Material Handling, Supply Chain, Logistics, Manufacturing, Warehousing, Fleet Management",Privately Held,United States,New Bremen,EST
Bally's Interactive,650,2200,Gambling & Casinos,,Public Company,United States,Providence,EST
Music Tribe,500,2900,Musicians,"Loudspeakers, Amplifiers, Mixers, DJ products, Microphones, Headphones, Wireless systems, Musical instruments, MIDI Controllers",Privately Held,Malaysia,Kuala Lumpur,Asia/Kuala_Lumpur
SSP America,1300,15000,Food and Beverage Services,,Privately Held,United States,Ashburn,EST
"Mission Technologies, a division of HII",1500,3200,Defense and Space Manufacturing,,Public Company,United States,Mclean,EST
Gentherm,1000,10000,Motor Vehicle Manufacturing,"Heated/Cooled/Ventilated Seats (automotive), Heated Steering Wheels, Heated/Cooled Cupholders, Thermal Storage (bin), Cables, Fans/Blowers, Thermal Comfort Products Non-Automotive Applications, Medical, Electronic Components",Public Company,United States,Northville,EST
Holiday Retirement,500,2000,Hospitality,"Independent Living, Retirement Living, Senior Housing, Senior Living, Assistant Living, Hospitality, Property Management",Privately Held,United States,Louisville,EST
KATERRA,3000,8000,Construction,"Innovation, Design, Logistics, Sourcing, Architecture, Supply Chain, Manufacturing, Technology, Construction, Engineering, Efficiency, Job-site Integration, Cross Laminated Timber, Interior Design, Renovation, Material Supply, Labor Management",Privately Held,United States,Menlo Park,EST
EPAM Anywhere,2200,18000,IT Services and IT Consulting,"Software & Platform Engineering, Agility, Product Development, IoT, Next-Gen Architecture, Application & Cloud Management, Big Data & Analytics, Consulting Services, Digital Engagement, Mobility, Strategy & Experience",Public Company,United States,Newtown,EST
BMC - Building Materials and Construction Solutions,9000,9500,Wholesale Building Materials,"Construction, Lumber, Building Materials, Millwork, windows, doors",Public Company,United States,Raleigh,EST
The College of St. Scholastica,200,1500,Higher Education,"Undergraduate and graduate degree programs in Health Sciences, Management/MBA, Education, Health Information Management",Educational Institution,United States,Duluth,EST
Lionbridge,750,6000,Translation and Localization,"Translation, Localization, Global Marketing, Product Engineering Services, Technical Writing, eLearning Services, Interpretation, Global Testing",Privately Held,United States,Waltham,EST
Aviation Institute of Maintenance,300,500,Education Administration Programs,"FAA Approved Airframe and Powerplant School, Aviation Maintenance Technical Engineer (AMTE), Aviation Maintenance Technician (AMT), Avionics Technician, Advanced Structures Technician, Combination Welding, Helicopter Maintenance, Unmanned Aircraft Systems, Human Factors, Aviation Careers, Federal Aviation Maintenance Certificate, Airman Knowledge Testing Center",Educational Institution,United States,Virginia Beach,EST
Indegene,300,3200,Management Consulting,"Analytics, Technology, Operations, Medical Affairs, Multichannel Marketing, Regulatory Affairs, Creative Solutions, Pharmacovigilance, Drug Safety, Pharma Branding, Medical Devices, Medical Communication, Medical Information Management, Pharma Marketing, Promotional Literature Review",Privately Held,United States,Princeton,EST
Gallaudet University,200,1200,Higher Education,"Deaf Education, Linguistics, Deaf Studies, Audiology, Signing Ecosystem",Educational Institution,United States,Washington,EST
BancorpSouth,800,4300,Banking,"Financial Services, Banking, Mortgage, Trust & Asset Management, Investment Services, Insurance Services",Public Company,United States,Tupelo,EST
Lincoln Electric,3500,11000,Machinery Manufacturing,"Welding Consumables, Plasma Cutting Equipment, Welding Education, Technical Training & Seminars, Robotic Welding Automation, Weld Fume Control Solutions, Welding Safety Apparel, Welding Equipment, Welding Information Systems",Public Company,United States,Cleveland,EST
Bruker,2200,7000,Biotechnology Research,"Life Sciences, Pharmaceutical, Chemical, Material Science, Clinical research, Food & Agriculture, Surface Measurement, Environmental, Quality & Process Control, Microbiology, Preclinical Imaging, Homeland Security, Mass Spectrometry, Magnetic Resonance, NMR Spectroscopy, Infrared Spectroscopy, Raman Spectroscopy, Elemental Analysis, X-ray Diffraction, Surface Analysis, Microtomography, Surface Plasmon Resonance",Public Company,United States,Billerica,EST
The Hershey Company,8500,16000,Manufacturing,Consumer Packaged Goods,Public Company,United States,Hershey,EST
Weber LLC,1800,2000,Consumer Goods,"BBQ Grills, Grilling Accesories",Privately Held,United States,Palatine,EST
FMC Technologies,5000,17000,Oil and Gas,"Oil and gas production and processing systems, Surface wellhead, Subsea, Fluid control, Completion services, Loading systems, ROV, Well Intervention, Measurement Systems, High Pressure High Temperature",Public Company,United States,Houston,EST
CalPortland,900,3000,Wholesale Building Materials,"Cement Manufacturing and Distribution, Ready Mixed Concrete Production, Aggregate Production, Asphalt Production and Construction Services",Privately Held,United States,Glendora,EST
Hawaiian Electric,3200,2900,Utilities,,Public Company,United States,Honolulu,EST
"Graphic Packaging International, LLC",6000,19000,Packaging and Containers Manufacturing,"folding cartons, paperboard, packaging, packaging machinery, package design, recycled paperboard, foodservice, hot cups, cold cups, beverage packaging systems, innovation, sustainability, microwave",Public Company,United States,Atlanta,EST
Ball Corporation,11500,18300,Packaging and Containers Manufacturing,"Beverage Cans & Bottles, Aerosol Cans, Paint & General Line Cans, Specialty Tins, Aerospace",Public Company,United States,Westminster,EST
Northeast Georgia Health System,1800,8000,Hospital & Health Care,,Nonprofit,United States,Gainesville,EST
Nielsen Media Research,3100,4100,Market Research,,Public Company,United States,New York,EST
American University,900,2200,Higher Education,"School of International Service, School of Public Affairs, School of Communication, Kogod School of Business, Washington College of Law, College of Arts and Science, School of Professional and Extended Studies",Educational Institution,United States,Washington,EST
CDK Global,2000,9000,Software Development,"CRM, Digital Retail, Fixed Operations, Embedded Insurance, IT Solutions, Data & Intelligence, Dealer Management Systems",Privately Held,United States,Austin,EST
Altimetrik,300,2500,Software Development,"DevOps, Product Engineering, Platform Engineering, Data Engineering, Cloud, Advanced Analytics, Talent Assessment, Talent Transformation, DevSecOps, Digital Lending Platform, Digital Business, Information Engineering, Cybersecurity, Site Reliability, Cloud Engineering, Digital Transformation, Data and Analytics",Privately Held,United States,Southfield,EST
Lupin Pharmaceuticals,2300,18000,Pharmaceutical Manufacturing,,Privately Held,United States,Baltimore,EST
Edgewell Personal Care,2100,6000,Manufacturing,"Shaving, Sun Care, Feminine Care, Infant Care, Skin Care, Grooming, Men's Skincare, Shave Prep, Personal Care",Public Company,United States,Shelton,EST
MillerCoors,7500,6100,Food and Beverage Services,"Beer, Adult Beverage, Consumer Goods",Public Company,United States,Chicago,EST
Lionbridge Technologies,750,6000,Translation and Localization,"Traducción, Localización, Global Marketing, eLearning",Privately Held,United States,Waltham,EST
Fusion BPO Services,200,3000,Outsourcing/Offshoring,"Customer Services, Collection Services, Chat Support, Email Support, Back Office",Privately Held,United States,Canton,EST
HomeGoods - TJX Companies,12000,33000,Design Services,,Public Company,United States,Framingham,EST
ESI an MKS Brand,500,2200,Machinery Manufacturing,"Laser-based manufacturing solutions, component test & inspection, interconnect solutions, microfabrication, PCB Drilling",Public Company,United States,Portland,EST
doTERRA Wellness Advocate,1500,1300,Wellness and Fitness Services,,Public Company,United States,Pleasant Grove,EST
Envision Healthcare,7000,46000,Hospital & Health Care,"emergency medical services, solutions for hospitals, physician services, ambulance services, Post-acute care services",Privately Held,United States,Nashville,EST
Genesis Rehab Services,900,22000,Hospitals and Health Care,"Physical Therapy, Occupational Therapy, Speech Therapy, Respiratory Therapy, Health and Wellness",Public Company,United States,Kennett Square,EST
Johns Hopkins Health Plans,1200,3000,Hospitals and Health Care,"Medicare, Medicaid, Tricare, Population Health, Employer Health",Privately Held,United States,Hanover,EST
Wayne Farms,2200,9000,Food and Beverage Manufacturing,"Poultry Processing, Hatcheries, Feed Mills, Research & Development, Prepared Foods, Sales & Marketing, Accounting & Finance, Legal, Human Resources, Food Safety & Quality, Information Technology, Live Production, Recruitment, Technical Services, Procurement",Privately Held,United States,Oakwood,EST
SLK Global Solutions,300,1600,IT Services and IT Consulting,,Privately Held,United States,United States,EST
"Nypro, A Jabil Company",2300,10000,Medical Equipment Manufacturing,,Public Company,United States,St. Petersburg,EST
Khidmah,300,1500,Facilities Services,"Integrated Facility Management, Maintenance Solutions, Landscaping Solutions, Cleaning Solutions, Hospitality Solutions, Pest Control, MEP Services, Concierge Services, Professional and Certified Lifeguard Services, First Aid and Lifeguard Training Consultancy and Management",Sole Proprietorship,United Arab Emirates,Abu Dhabi,GST
Indorama Ventures: Integrated Oxides & Derivatives,4200,3200,Chemical Manufacturing,,Public Company,United States,The Woodlands,EST
University of the Pacific,800,3000,Higher Education,,Educational Institution,United States,Stockton,EST
CMC,1200,5000,Construction,"Metals, Recycling, Fabrication, Distribution",Public Company,United States,Irving,EST
"KARL STORZ Endoscopy-America, Inc.",1500,3200,Medical Equipment Manufacturing,"Design, Engineering, Manufacturing, Sales & Support",Privately Held,United States,El Segundo,EST
EIS,700,1400,Wholesale,,Public Company,United States,Atlanta,EST
Allied Building Products Corp.,2500,2200,Building Materials,"Building Products, Distribution, Interior Products, Exterior Products, Commercial Roofing, Residential roofing, Siding, Windows, Doors, Gypsum, Acoustical Tile, Insulation, Solar, Waterproofing, Cements & Coatings, Viroc",Public Company,United States,East Rutherford,EST
Perficient,500,3000,IT Services and IT Consulting,"Big Data and Analytics, CPM, Cloud, DevOps, Commerce, Enterprise Data and BI, Content Management, Enterprise Resource Planning, Digital Marketing, Integration and APIs, Experience Design, Multi-Shoring, Mobile, Portals, Social, Business Process Management",Public Company,United States,"St Louis, Mo 63141",EST
Augusta Health,800,4500,Hospitals and Health Care,"Cardiology, Oncology, Joint Replacement and Rehabilitation, Hospice and Home Health, Urgent Care, Obstetrics & Gynecology",Nonprofit,United States,Fishersville,EST
Alnylam Pharmaceuticals,800,1400,Biotechnology Research,"Biotech, Pharmaceuticals, Biopharma, Drug Development, Rare Diseases, RNAi",Public Company,United States,Cambridge,EST
Westcon-Comstor,2200,2500,IT Services and IT Consulting,"Data Centre, Collaboration, Security, Networking Infrastructure, Global Deployment, Circular Technology, Support Services, Cyber Security, IT Distributor",Privately Held,United States,Tarrytown,EST
Subaru of Indiana Automotive,4200,5700,Motor Vehicle Manufacturing,"Automotive, Manufacturing",Privately Held,United States,Lafayette,EST
Anadarko Petroleum Corporation,3300,2600,Oil & Energy,"oil & gas, deepwater, onshore, domestic, international, exploration & production",Public Company,United States,The Woodlands,EST
"Qorvo, Inc.",3000,8000,Semiconductor Manufacturing,"RF Front Ends, Premium Filters, Power Amplifiers, Switch Products, Foundry, Antenna Control Solutions, Gallium Nitride (GaN), Systems on a Chip (SOCs), Power Management ICs, Antenna Switch Modules, Optical, Radar, Low Power Wireless Products",Public Company,United States,Greensboro,EST
Oldcastle BuildingEnvelope,1500,6300,Building Materials,"Curtain Wall, Window Wall, Architectural Windows, Entrance Doors, Storefronts, Skylights, Architectural Glass, architectural hardware, Showers, Custom-Engineering, Hurricane resistance, Sun controls, Blast Mitigation, impact resistance, Security glazing, retrofit, adaptive reuse",Privately Held,United States,Dallas,EST
C&J Energy Services,1200,3400,Oil and Gas,"Hydraulic Fracturing, Pumpdown, Coiled Tubing, Cased-Hole Wireline, Directional Drilling, Well Completions, Cementing, Well Services, Rig Services, Fluids Management",Public Company,United States,Houston,EST
Greenheck,1100,3200,Industrial Machinery Manufacturing,"Fans & Ventilators, Centrifugal & Vane Axial Fans, Energy Recovery Ventilators, Packaged Ventilation Systems, Make-up Air Units, Lab Exhaust Systems, Coils, Dampers, Louvers, Indoor Air Handlers, Tempered Air Products, Dedicated Outdoor Air Systems (DOAS), Fume Exhaust Systems, High Volume Low Speed (HVLS) Fans, Grilles, Registers and Diffusers (GRD)",Privately Held,United States,Schofield,EST
"Konica Minolta Business Solutions U.S.A., Inc.",3000,7500,Software Development,"Multifunction Printers (MFP), Digital Press, Workflow Solutions, IT Services, Technology Optimization, Enterprise Content Management (ECM), Security and Compliance, Cloud Services, Mobility, Optimized Print Services (MPS), Printing, Print Production, Industrial Printing, Packaging, Business Solutions, Industry Solutions, Intelligent Information Management, Help Desk, Video Surveillance, Digital Transformation, Cloud",Public Company,United States,Ramsey,EST
Breakthru Beverage Group,5000,7000,Wholesale,"Sales & Marketing, Alcohol Beverage, Operations, Logistics",Privately Held,United States,Cicero,EST
Abt Associates,600,1400,Research Services,"research, consulting, technical assistance, data collection, survey research",Privately Held,United States,Rockville,EST
BDI,700,2200,Wholesale,"bearings, power transmission, fluid power, linear motion, safety supplies, general industrial, electrical",Privately Held,United States,Cleveland,EST
Swift Transportation,4100,22000,Truck Transportation,"Full Truckload, Linehaul, Intermodal, Dedicated, Temperature Controlled, Flatbed, Logistics Brokerage and Full Managed Trans., Expedited / Teams, Cross Border Mexico and Canada, Swift Express, Trade Show, Owner Operators, Heavy Haul, Refrigerated",Public Company,United States,Phoenix,EST
Chevron Phillips Chemical Company,13000,5000,Chemical Manufacturing,Chemical commodities,Privately Held,United States,Spring,EST
University of Cincinnati College of Medicine,900,2200,Higher Education,,Educational Institution,United States,Cincinnati,EST
Makino,1500,3400,Machinery Manufacturing,"Horizontal Machining Centers, Vertical Machining Centers, Wire EDMs, Sinker EDMs, 5-Axis Machining Centers, Engineering Services, Grinding, Die and Mold, Die & Mould, Tooling, Part Processing, Automation Processes, Tool Changers, Technical Solutions, Smart Machines, Spindles, Automated Cells & Systems, RAM EDM, Automation, Turnkey, Manufacturing Processes, Software, Digital Technologies, Manufacturing, Component Processing",Privately Held,United States,Mason,EST
"TETRA Technologies, Inc.",800,1300,Oil and Gas,"Early Production Facilities, Water Management Solutions (Frac), Completion Fluids & Svcs, Well Testing & Flow Back, Calcium Chloride, Brominated products, Rig Cooling, Sand Management",Public Company,United States,The Woodlands,EST
Seneca Foods Corporation,1200,3300,Food and Beverage Manufacturing,Food Processing,Public Company,United States,Fairport,EST
Global Industrial Company,2300,3000,Wholesale,"Material Handling, Packaging/Supplies, Storage & Shelving, Furniture/Office, Foodservice/Appliances, Janitorial, Motors/Power Transmission, Packaging & Supplies/ Tools & Instruments, HVAC/R & Fans / Electrical, Plumbing Supplies/ Pneumatics/Hydraulics, Safety/Medical, Facilities Maintenance, Industrial Supplies, MRO, Lighting",Public Company,United States,Port Washington,EST
NAFFCO GROUP,500,3200,Public Safety,"Manufacturing, Design, Supply, Installation and Commissioning of NFPA Standard, UL Listed / FM Approved / LPCB Approved / Kite Marked Fire Protection and Detection Equipments including Fire Pump Sets, Fire Trucks, Ambulances and Rescue Vehicles, firetrucks, firefightingproducts, firepumps, firefightingequipments, firedoors, BMS, ELV, safetyequipments, firefightingvehicles, fireexhinguishers, sprinklers, smokedetectors, security",Privately Held,United Arab Emirates,Dubai,GST
Matthews International,1500,5800,Manufacturing,"Manufacturing, Marketing, Branding, Packaging, Marking, Funeral Services, Printing, Automation",Public Company,United States,Pittsburgh,EST
Newmont Corporation,9700,16500,Mining,,Public Company,United States,Denver,EST
Ventura Unified School District,300,650,Education Administration Programs,,Educational Institution,United States,"Ventura, Ca  93001",EST
Daktronics,500,2300,Manufacturing,"Large Screen LED Video Systems, LED Message Displays, LED Digital Billboards, Scoreboards & Timing Systems, Out of Home Advertising, Digital Signage, Dynamic Message Signs, Architectural Lighting, Intelligent Transporation Systems, Mobile and Modular LED Systems",Public Company,United States,Brookings,EST
"Spark Therapeutics, Inc.",200,900,Biotechnology Research,"Biotechnology, Gene therapy",Privately Held,United States,Philadelphia,EST
"Southco, Inc.",500,2100,Industrial Machinery Manufacturing,,Privately Held,United States,Concordville,EST
Vestis Corporation,800,1400,Facilities Services,,Public Company,United States,Roswell,EST
HALLIBURTON ENERGY SERVICES,18000,55000,Oil and Gas,,Public Company,United States,Houston,EST
KPMG Lower Gulf,1400,1800,Accounting,"Audit, Tax, Advisory, KPMG Business Academy",Privately Held,United Arab Emirates,Dubai,GST
